week,cage,treatment,nh4_avg,po4_uM,sio2_uM,no3_no2_uM,clod_loss,avg_cara,avg_mass,carapaceA,carapaceB,nh4_conc3,nh4_conc2,nh4_conc1
one,1,mid,1.704037424035149,0.811,2.678,0.231,0.1127350319009591,14.4,392,14.4,14.4,1.6828281755564736,2.683476177117777,0.7458079194311965
one,2,mid,2.21085569752132,0.35,2.463,0.05,0.12440529006633702,14,406,14,13.9,0.04639101231697797,6.410700339132444,0.17547574111453748
one,3,control,0.09771948249245387,0.301,2.821,0.022,0.11758144251489422,0,0,0,0,0.06796357074788502,0.07301594135735372,0.15217893537212288
one,4,large,2.1876252474105256,0.3,2.514,0.047,0.09068745510626611,15.9,548,15.9,15.9,1.6999007425609045,2.1374758350339556,2.725499164636717
one,5,large,1.4913007343367637,0.297,2.624,0.049,0.09166772298981701,15.7,522,15.7,15.7,0.8224551075060332,3.103393403433725,0.5480536920705328
one,6,control,0.058026061009677464,0.25,2.641,0.087,0.11212236447373984,0,0,0,0,0.054252824036302175,0.03361496767989327,0.08621039131283695
one,7,large,2.2507213158202735,0.287,2.28,0.259,0.1327079900283094,15.6,512,15.6,15.4,0.893696189573904,3.8631305342336333,1.9953372236532827
one,8,control,0.08755983780911653,0.257,2.988,0.01,0.12061942789538165,0,0,0,0,0.09310450645515023,0.12180190312116593,0.04777310385103341
one,9,large,2.3337693736762986,0.49,2.647,0.1,0.0740820551823215,15,398,15,15.3,3.705400434501116,2.843239029289397,0.4526686572383824
one,10,control,0.09580084336021492,0.246,2.717,0.007,0.11333924874297549,0,0,0,0,0.03574700449322803,0.17380902941795193,0.07784649616946482
one,11,mid,1.361380612981308,0.208,1.92,0.036,0.11414205433726284,13.1,250,13.1,12.7,3.227157785944905,0.7500434117965216,0.10694064120249706
one,12,mid,0.5945850437180934,0.295,1.813,0.058,0.11128575653864017,11.6,192,11.6,11.9,0.19627128882130632,0.5406245380039922,1.0468593043289816
two,13,large,1.1274956963432716,0.449,4.508,0.139,NA,15.9,554,15.9,15.9,0.16791343745916248,0.26528152708345815,2.949292124487194
two,14,mid,2.3178697964268746,0.435,2.514,0.02,NA,14,414,14,13.9,0.21202139545036958,1.2605022416063045,5.481085752223949
two,15,mid,1.2144953704356622,0.32,9.599,0.037,NA,13.1,248,13.1,12.7,1.0561365391347963,0.5878276027858915,1.999521969386299
two,16,control,0.1348799380748587,0.186,6.763,0.031,NA,0,0,0,0,0.06239844291707625,0.2540484283338457,0.08819294297365417
two,17,control,0.46418210942578436,0.262,7.223,0.007,NA,0,0,0,0,0.09405847582980467,1.1843263695188522,0.11416148292869621
two,18,mid,2.149314516671907,0.99,7.998,0.284,NA,14.4,392,14.4,14.4,1.5352360719252676,1.10428485616129,3.8084226219291635
two,19,large,3.7780232794561104,0.452,4.713,1.429,NA,15.6,558,15.6,15.4,4.9158836541318625,2.484091398927445,3.934094785309024
two,20,mid,1.2105266911986645,0.312,4.913,0.175,NA,11.6,198,11.6,11.9,0.6976661353186413,1.0620659897406817,1.8718479485366704
two,21,control,0.2999241092975189,0.201,6.183,0.014,NA,0,0,0,0,0.3182366308967352,0.37976514618881957,0.20177055080700185
two,22,control,0.23471784492029632,0.345,8.589,0.025,NA,0,0,0,0,0.3135683582015393,0.26402329874848135,0.1265618778108683
two,23,large,2.4828677688152707,0.283,4.504,0.171,NA,15,400,15,15.3,3.013442214532934,1.0604742551000486,3.3746868368128298
