tub,syringe,bottle,flow_s,flow_e_sec,sample_matrix,cukes_num,cuke_len1,cuke_wid1,cuke_mass1,cuke_len2,cuke_wid2,cuke_mass2,cuke_len3,cuke_wid3,cuke_mass3,cuke_len4,cuke_wid4,cuke_mass4,temp,salinity,flu_1,flu_2,flu_3,extras
1,12,D01,10,12.28,sample,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,32.3,172.4,171.5,173.2,"182.0, 174, 169.7"
2,13,D02,20,5.93,sample,4,22,21,512,28,20,534,30,21,738,31,24,744,11,32.1,199.9,197.1,197.5,"192.6, 201.9, 194.7, 204"
3,12,D03,15,9.18,sample,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32.1,171.1,169.2,169.7,
4,13,D04,25,4.95,sample,4,30,22,798,34,21,804,22,26,636,28,20,536,10.9,32,180.9,180.7,180.3,184.2
5,13,D05,15,10.11,sample,4,26,22,552,25,25,702,28,23,720,29,27,886,11.1,31.8,195.4,198.9,195.6,200.2
6,12,D06,25,5.02,sample,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,31.9,170.7,169.4,169.6,"166.2, 164.8"
7,12,D07,20,6.06,sample,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,32,162.6,165.5,163.6,
8,13,D08,10,12.58,sample,4,28,20,478,32,19,580,32,18,542,33,26,970,10.9,31.9,198,197.7,198.9,
9,12,D09,15,9.26,sample,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,31.9,167.6,165.3,166.8,
1,12,F01,10,12.28,matrix,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,32.3,256.3,258.4,256.3,261.4
