bottle,site_ID,dilution,FLU1,FLU2,FLU3,extras
D18,BMSC2,,82.42,83.15,81.12,
D07,BMSC2,,117.1,114.7,115.8,
D19,BMSC2,,194.9,192.9,193.2,196.9
D01,BMSC4,,72.07,72.89,73.35,89.67
D08,BMSC4,,26.61,26.78,26.72,
D10,BMSC4,,125.5,123.1,122.8,
D02,BMSC6,,86.26,86.75,88.63,
C13,BMSC6,,51.66,52.64,51.64,
F11,BMSC6,,138.7,138.2,140.8,
D25,BMSC8,,100.3,97.96,99.27,
F28,BMSC8,,84.19,83.29,83.63,
C11,BMSC8,,158.6,160.9,158.1,
D17,BMSC10,,126.8,127.9,125.9,
D28,BMSC10,,56.48,55.82,56.35,
D23,BMSC10,,195.8,194.3,197.3,
D14,BMSC9,,81.36,82.87,81.33,
F14,BMSC9,,140.1,141.2,139,
D05,BMSC9,,190.7,193.3,190.4,194.1
D03,BMSC1,,31.41,32.18,31.59,
D11,BMSC1,,17.31,16.43,17.07,
F08,BMSC1,,80.04,79.09,81.5,
D04,BMSC3,,89.67,88.01,88.69,
D12,BMSC3,,57.5,58.35,59.44,
D16,BMSC3,,129.7,129.4,130.8,"125.7, 133.1, 138.9"
D26,BMSC5,,32.41,31.75,31.97,
D15,BMSC5,,34.39,35.02,35.38,37.7
D21,BMSC5,,97.05,98.2,97.85,
D20,BMSC7,,57.91,57.08,57.48,
D09,BMSC7,,61.57,63.17,62.93,64.62
D24,BMSC7,,126.1,126.7,126.9,
