site,site_ID,bottle,syringe,depth,temp_est,sal_est,date,sample,comments,lat_dec,long_dec,region,period
Taylor,BMSC5,F1,WP,0,15.6,27.8,2021-06-16,matrix,,48.827392,-125.196806,deer,second
Taylor,BMSC5,D01,WP,0,15.6,27.8,2021-06-16,sample,,48.827392,-125.196806,deer,second
Taylor,BMSC5,D02,1,5.3,11.6,30.6,2021-06-16,sample,,48.827392,-125.196806,deer,second
Taylor,BMSC5,D03,2,7.1,11.5,30.7,2021-06-16,sample,,48.827392,-125.196806,deer,second
Taylor,BMSC5,D04,WP,6.8,11.5,30.7,2021-06-16,sample,,48.827392,-125.196806,deer,second
Taylor,BMSC5,F2,WP,6.8,11.5,30.7,2021-06-16,matrix,,48.827392,-125.196806,deer,second
WizardN,BMSC12,F3,6,0,16.9,30.7,2021-06-16,matrix,,48.858753,-125.160144,deer,second
WizardN,BMSC12,D05,6,0,169,30.7,2021-06-16,sample,,48.858753,-125.160144,deer,second
WizardN,BMSC12,D06,4,7,12.3,30.9,2021-06-16,sample,,48.858753,-125.160144,deer,second
WizardN,BMSC12,D07,5,7,12.3,30.9,2021-06-16,sample,,48.858753,-125.160144,deer,second
WizardN,BMSC12,D08,WP,7,12.3,30.9,2021-06-16,sample,,48.858753,-125.160144,deer,second
WizardN,BMSC12,F4,WP,7,12.3,30.9,2021-06-16,matrix,,48.858753,-125.160144,deer,second
DixonInside,BMSC22,F11,B1,0,16.3,26.2,2021-06-17,matrix,,48.853418,-125.115589,main,second
DixonInside,BMSC22,D09,B2,0,16.3,26.2,2021-06-17,sample,,48.853418,-125.115589,main,second
DixonInside,BMSC22,D10,9,7.8,11,31.1,2021-06-17,sample,,48.853418,-125.115589,main,second
DixonInside,BMSC22,D11,10,7.3,11.2,30.9,2021-06-17,sample,,48.853418,-125.115589,main,second
DixonInside,BMSC22,D12,WP,7.2,11.2,30.9,2021-06-17,sample,,48.853418,-125.115589,main,second
DixonInside,BMSC22,F12,WP,7.2,11.2,30.9,2021-06-17,matrix,,48.853418,-125.115589,main,second
Scotts,BMSC9,F13,13,0,15.6,28.1,2021-06-17,matrix,,48.834311,-125.148126,main,second
Scotts,BMSC9,D13,13,0,15.6,28.1,2021-06-17,sample,,48.834311,-125.148126,main,second
Scotts,BMSC9,D14,11,5.3,10.9,31.4,2021-06-17,sample,,48.834311,-125.148126,main,second
Scotts,BMSC9,D15,12,4.9,10.9,31.4,2021-06-17,sample,,48.834311,-125.148126,main,second
Scotts,BMSC9,D16,WP,5,10.9,31.4,2021-06-17,sample,,48.834311,-125.148126,main,second
Scotts,BMSC9,F14,WP,5,10.9,31.4,2021-06-17,matrix,,48.834311,-125.148126,main,second
