bottle,sample_matrix,FLU1,FLU2,FLU3,extras
D05,,-24.52,-24.62,-24.56,
D06,,-28.57,-28.55,-28.76,
D07,,-26.92,-26.91,-27.16,
D08,,-26.59,-26.74,-26.61,
F3,,49.38,46.96,48.78,45.42
F4,,44.8,43.49,43.45,46.6
D01,,-25.14,-24.56,-25.37,
D02,,33.56,31.63,32.01,
D03,,58.97,58.21,59.21,
D04,,30.02,30.34,29.83,46.29
F2,,105.8,105.1,105.4,
F1,,53.09,51.81,50.82,49.76
D09,,-15.22,-15.13,-14.71,
D10,,103.1,101.6,104,98.51
D11,,-20.13,-19.81,-18.73,
D12,,13.6,13.92,13.88,
F11,,52.38,52.88,54.02,
F12,,87.49,86.72,87.64,
F13,,42.4,41.71,42.68,
F14,,214,211.6,211.3,
D13,,-31.15,-30.63,-30.8,
D14,,169.6,171.9,170.5,"167.0, 175.9"
D15,,61.84,60.05,62.91,
D16,,146.9,147.1,146.4,"151.3, 152.1"
