site,site_ID,bottle,syringe,depth,temp_est,sal_est,date,sample,comments,lat_dec,long_dec,region,period
DodgerChannel,BMSC1,D11,A1,0,12.6,27.3,2021-04-26,sample,,48.832005,-125.197788,deer,first
DodgerChannel,BMSC1,F08,A2,0,12.6,27.3,2021-04-26,matrix,,48.832005,-125.197788,deer,first
DodgerChannel,BMSC1,D03,A3,0,12.6,27.3,2021-04-26,sample,,48.832005,-125.197788,deer,first
Kirby,BMSC2,D07,A1,4.8,10.7,30.7,2021-04-27,sample,,48.849393,-125.185895,deer,first
Kirby,BMSC2,D19,A2,4.8,10.7,30.7,2021-04-27,matrix,,48.849393,-125.185895,deer,first
Kirby,BMSC2,D18,A3,5,10.7,30.7,2021-04-27,sample,,48.849393,-125.185895,deer,first
Ohiat,BMSC3,D12,B1,7,10.5,30.7,2021-04-27,sample,,48.856046,-125.183473,deer,first
Ohiat,BMSC3,D16,B2,5,10.6,30.7,2021-04-27,matrix,,48.856046,-125.183473,deer,first
Ohiat,BMSC3,D04,B3,6,10.6,30.7,2021-04-27,sample,,48.856046,-125.183473,deer,first
Kiixin,BMSC4,D08,A1,7,10.4,30.8,2021-04-28,sample,,48.815363,-125.176091,main,first
Kiixin,BMSC4,D10,A2,7,10.4,30.8,2021-04-28,matrix,,48.815363,-125.176091,main,first
Kiixin,BMSC4,D01,A3,7,10.4,30.8,2021-04-28,sample,,48.815363,-125.176091,main,first
Taylor,BMSC5,D26,B1,7,9.7,31.1,2021-04-28,sample,,48.827392,-125.196806,deer,first
Taylor,BMSC5,D21,B1,5,9.9,31.1,2021-04-28,matrix,,48.827392,-125.196806,deer,first
Taylor,BMSC5,D15,B1,6,9.8,31.1,2021-04-28,sample,may have some DI in the bottle,48.827392,-125.196806,deer,first
BaeriaSouthN,BMSC6,C13,A1,5.6,11.4,30.8,2021-04-29,sample,,48.949936,-125.155022,protected,first
BaeriaSouthN,BMSC6,F11,A2,6,11.4,30.8,2021-04-29,matrix,,48.949936,-125.155022,protected,first
BaeriaSouthN,BMSC6,D02,A3,6,11.4,30.8,2021-04-29,sample,,48.949936,-125.155022,protected,first
BaeriaNorthS,BMSC7,D20,B1,3.7,11.6,30.7,2021-04-29,sample,,48.949689,-125.150484,protected,first
BaeriaNorthS,BMSC7,D24,B2,5.6,11.1,30.9,2021-04-29,matrix,,48.949689,-125.150484,protected,first
BaeriaNorthS,BMSC7,D09,B3,6,11.1,30.9,2021-04-29,sample,,48.949689,-125.150484,protected,first
BaeriaNorthN,BMSC8,D25,C1,5.6,10.9,31.1,2021-04-29,sample,,48.950189,-125.149315,protected,first
BaeriaNorthN,BMSC8,C11,C2,6,10.9,31.1,2021-04-29,matrix,,48.950189,-125.149315,protected,first
BaeriaNorthN,BMSC8,F28,C3,6,10.9,31.1,2021-04-29,sample,,48.950189,-125.149315,protected,first
Scotts,BMSC9,D14,A1,5,11,29.8,2021-04-30,sample,,48.834311,-125.148126,main,first
Scotts,BMSC9,D05,A2,6,10.2,30.8,2021-04-30,matrix,,48.834311,-125.148126,main,first
Scotts,BMSC9,F14,A3,6,10.2,30.8,2021-04-30,sample,,48.834311,-125.148126,main,first
Ross,BMSC10,D28,B1,4,10.3,30.9,2021-04-30,sample,,48.870574,-125.160794,deer,first
Ross,BMSC10,D23,B2,4,10.3,30.9,2021-04-30,matrix,,48.870574,-125.160794,deer,first
Ross,BMSC10,D17,B3,4.5,10.2,31,2021-04-30,sample,,48.870574,-125.160794,deer,first
