site,site_ID,bottle,syringe,depth,temp_est,sal_est,date,sample,comments,lat_dec,long_dec,region,period
WizardS,BMSC11,F10,D1,6.5,9.9,31.2,2021-05-03,sample,,48.857917,-125.158671,deer,first
WizardS,BMSC11,F02,D2,5.5,9.9,31.2,2021-05-03,sample,,48.857917,-125.158671,deer,first
WizardS,BMSC11,F16,D3,4.5,10.1,31.2,2021-05-03,sample,water collected in bag bc syringe lost. Filtered with D2 syringe on surface,48.857917,-125.158671,deer,first
WizardN,BMSC12,D06,C1,5,9.9,31.2,2021-05-03,sample,,48.858753,-125.160144,deer,first
WizardN,BMSC12,D22,C2,5.5,9.5,31.4,2021-05-03,sample,,48.858753,-125.160144,deer,first
WizardN,BMSC12,F29,C3,5,9.9,31.2,2021-05-03,sample,,48.858753,-125.160144,deer,first
EffinghamW,BMSC13,F07,A1,5,10.4,30.9,2021-05-04,sample,,48.865536,-125.314384,protected,first
EffinghamW,BMSC13,F12,A2,5,10.4,30.9,2021-05-04,sample,,48.865536,-125.314384,protected,first
EffinghamW,BMSC13,D27,A3,4.3,10.4,31,2021-05-04,sample,,48.865536,-125.314384,protected,first
EffinghamArchipelago,BMSC14,F05,B1,4,11.5,30.4,2021-05-04,sample,,48.881516,-125.3036,protected,first
EffinghamArchipelago,BMSC14,F26,B2,5,11.1,30.7,2021-05-04,sample,,48.881516,-125.3036,protected,first
EffinghamArchipelago,BMSC14,F09,B3,6,10.9,30.8,2021-05-04,sample,,48.881516,-125.3036,protected,first
RaymondKelpRock,BMSC15,F19,C1,7.5,10.9,30.8,2021-05-04,sample,,48.882313,-125.312613,protected,first
RaymondKelpRock,BMSC15,F15,C2,7.5,10.9,30.8,2021-05-04,sample,,48.882313,-125.312613,protected,first
RaymondKelpRock,BMSC15,F01,C3,7.3,11.2,30.7,2021-05-04,sample,,48.882313,-125.312613,protected,first
FaberS,BMSC16,F18,B1,6,10.6,31,2021-05-05,sample,,48.894439,-125.284499,protected,first
FaberS,BMSC16,F13,B2,5,11.7,30.2,2021-05-05,sample,,48.894439,-125.284499,protected,first
FaberS,BMSC16,F23,B3,5.5,10.6,31,2021-05-05,sample,,48.894439,-125.284499,protected,first
WouwerChannel,BMSC17,F25,A1,4,10.6,31,2021-05-05,sample,,48.866039,-125.358709,protected,first
WouwerChannel,BMSC17,F20,A2,5,10.5,31,2021-05-05,sample,,48.866039,-125.358709,protected,first
WouwerChannel,BMSC17,F17,A3,5.5,10.4,31.1,2021-05-05,sample,,48.866039,-125.358709,protected,first
EussenRock,BMSC18,F04,D1,8.8,11.1,30.6,2021-05-05,sample,,48.910063,-125.263743,protected,first
EussenRock,BMSC18,D13,D2,6.5,12.5,29.5,2021-05-05,sample,,48.910063,-125.263743,protected,first
EussenRock,BMSC18,C12,D3,7,12.5,29.5,2021-05-05,sample,,48.910063,-125.263743,protected,first
EdKingSWPyramid,BMSC19,F03,A1,8.9,9.5,31.6,2021-05-06,sample,,48.831861,-125.22039,deer,first
EdKingSWPyramid,BMSC19,F21,A2,8.5,9.5,31.6,2021-05-06,sample,,48.831861,-125.22039,deer,first
EdKingSWPyramid,BMSC19,F22,A3,8.1,9.5,31.6,2021-05-06,sample,,48.831861,-125.22039,deer,first
EdKingE,BMSC20,F06,A1,8.5,9.3,31.7,2021-05-06,sample,,48.836568,-125.212896,deer,first
EdKingE,BMSC20,F24,A2,6,9.4,31.7,2021-05-06,sample,,48.836568,-125.212896,deer,first
EdKingE,BMSC20,F27,A3,5.5,9.4,31.7,2021-05-06,sample,,48.836568,-125.212896,deer,first
DixonSW,BMSC21,G06,C2,5.5,10,31.4,2021-05-20,sample,,48.853171,-125.123584,main,first
DixonSW,BMSC21,G05,C3,5.3,11,31,2021-05-20,sample,,48.853171,-125.123584,main,first
DixonSW,BMSC21,G03,WP1,4.4,11.8,30.4,2021-05-20,sample,,48.853171,-125.123584,main,first
DixonSW,BMSC21,G04,WP1,4.4,11.8,30.4,2021-05-20,matrix,,48.853171,-125.123584,main,first
DixonInside,BMSC22,G07,A2,5.5,10.2,31.4,2021-05-20,sample,,48.853418,-125.115589,main,first
DixonInside,BMSC22,G02,A3,6.5,9.6,31.6,2021-05-20,sample,,48.853418,-125.115589,main,first
DixonInside,BMSC22,G01,WP2,6.7,9.6,31.6,2021-05-20,sample,,48.853418,-125.115589,main,first
DixonInside,BMSC22,G09,WP2,6.7,9.6,31.6,2021-05-20,matrix,,48.853418,-125.115589,main,first
