site,site_ID,bottle,syringe,depth,survey_depth,temp_est,sal_est,date,sample,comments,lat_dec,long_dec,region,period
BaeriaSouthN,BMSC6,C11,1,5.5,6.5,NA,NA,2022-04-28,sample,,48.949936,-125.155022,protected,fourth
BaeriaSouthN,BMSC6,C12,2,6,6.5,NA,NA,2022-04-28,sample,,48.949936,-125.155022,protected,fourth
BaeriaSouthN,BMSC6,C13,WP,5.5,6.5,NA,NA,2022-04-28,sample,thawed,48.949936,-125.155022,protected,fourth
BaeriaSouthN,BMSC6,D28,WP,5.5,6.5,NA,NA,2022-04-28,matrix,,48.949936,-125.155022,protected,fourth
BaeriaSouthN,BMSC6,F13,1,8.5,9,NA,NA,2022-04-28,sample,,48.949936,-125.155022,protected,fourth
BaeriaSouthN,BMSC6,F14,2,8.5,9,NA,NA,2022-04-28,sample,,48.949936,-125.155022,protected,fourth
BaeriaSouthN,BMSC6,F15,WP,8.5,9,NA,NA,2022-04-28,sample,,48.949936,-125.155022,protected,fourth
BaeriaSouthN,BMSC6,F16,WP,8.5,9,NA,NA,2022-04-28,matrix,,48.949936,-125.155022,protected,fourth
EffinghamW,BMSC13,D10,1,4.5,4.5,NA,NA,2022-04-26,sample,,48.865536,-125.314384,protected,fourth
EffinghamW,BMSC13,D11,2,3.5,4.5,NA,NA,2022-04-26,sample,,48.865536,-125.314384,protected,fourth
EffinghamW,BMSC13,D12,WP,3,4.5,NA,NA,2022-04-26,sample,,48.865536,-125.314384,protected,fourth
EffinghamW,BMSC13,D13,WP,3,4.5,NA,NA,2022-04-26,matrix,,48.865536,-125.314384,protected,fourth
EffinghamArchipelago,BMSC14,D20,1,7.5,7,NA,NA,2022-04-26,sample,,48.881516,-125.3036,protected,fourth
EffinghamArchipelago,BMSC14,D21,2,5.5,7,NA,NA,2022-04-26,sample,,48.881516,-125.3036,protected,fourth
EffinghamArchipelago,BMSC14,D22,WP,6.5,7,NA,NA,2022-04-26,sample,,48.881516,-125.3036,protected,fourth
EffinghamArchipelago,BMSC14,D23,WP,6.5,7,NA,NA,2022-04-26,matrix,,48.881516,-125.3036,protected,fourth
RaymondKelpRock,BMSC15,D14,1,6.5,7.5,NA,NA,2022-04-26,sample,,48.882313,-125.312613,protected,fourth
RaymondKelpRock,BMSC15,D15,2,6.5,7.5,NA,NA,2022-04-26,sample,,48.882313,-125.312613,protected,fourth
RaymondKelpRock,BMSC15,D16,WP,6.5,7.5,NA,NA,2022-04-26,sample,,48.882313,-125.312613,protected,fourth
RaymondKelpRock,BMSC15,D17,WP,6.5,7.5,NA,NA,2022-04-26,matrix,,48.882313,-125.312613,protected,fourth
FaberS,BMSC16,F1,1,4.5,5.5,NA,NA,2022-04-27,sample,,48.894439,-125.284499,protected,fourth
FaberS,BMSC16,F2,2,5.5,5.5,NA,NA,2022-04-27,sample,,48.894439,-125.284499,protected,fourth
FaberS,BMSC16,F3,WP,5,5.5,NA,NA,2022-04-27,sample,,48.894439,-125.284499,protected,fourth
FaberS,BMSC16,F5,WP,5,5.5,NA,NA,2022-04-27,matrix,,48.894439,-125.284499,protected,fourth
WouwerChannel,BMSC17,D24,1,5.5,5,NA,NA,2022-04-27,sample,,48.866039,-125.358709,protected,fourth
WouwerChannel,BMSC17,D25,2,4.5,5,NA,NA,2022-04-27,sample,,48.866039,-125.358709,protected,fourth
WouwerChannel,BMSC17,D26,WP,4.5,5,NA,NA,2022-04-27,sample,,48.866039,-125.358709,protected,fourth
WouwerChannel,BMSC17,D27,WP,4.5,5,NA,NA,2022-04-27,matrix,,48.866039,-125.358709,protected,fourth
EussenRock,BMSC18,F4,1,7,7.5,NA,NA,2022-04-27,sample,,48.910063,-125.263743,protected,fourth
EussenRock,BMSC18,F8,2,7,7.5,NA,NA,2022-04-27,sample,,48.910063,-125.263743,protected,fourth
EussenRock,BMSC18,F11,WP,7,7.5,NA,NA,2022-04-27,sample,,48.910063,-125.263743,protected,fourth
EussenRock,BMSC18,F12,WP,7,7.5,NA,NA,2022-04-27,matrix,,48.910063,-125.263743,protected,fourth
DixonSW,BMSC21,D5,1,3,4.5,NA,NA,2022-04-25,sample,,48.853171,-125.123584,main,fourth
DixonSW,BMSC21,D6,2,3,4.5,NA,NA,2022-04-25,sample,,48.853171,-125.123584,main,fourth
DixonSW,BMSC21,D7,WP,4.5,4.5,NA,NA,2022-04-25,sample,,48.853171,-125.123584,main,fourth
DixonSW,BMSC21,D8,WP,4.5,4.5,NA,NA,2022-04-25,matrix,,48.853171,-125.123584,main,fourth
DixonInside,BMSC22,D1,1,7,7,NA,NA,2022-04-25,sample,,48.853418,-125.115589,main,fourth
DixonInside,BMSC22,D2,2,7,7,NA,NA,2022-04-25,sample,,48.853418,-125.115589,main,fourth
DixonInside,BMSC22,D3,WP,7,7,NA,NA,2022-04-25,sample,,48.853418,-125.115589,main,fourth
DixonInside,BMSC22,D4,WP,7,7,NA,NA,2022-04-25,matrix,,48.853418,-125.115589,main,fourth
