ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400
,,,,,,,,,,12:00,,,"0, 1, 2","0, 1, 2",,2,3,26847,13575,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160
1,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,2,Hde,Hexagrammos decagrammus,Kelp greenling,15,0,,,1,3,4,7,,,,,,,,,,,,,,,,,,,,,,
2,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,2,Sca,Sebastes caurinus,Copper rockfish,23,0,,8,6,4,3,2,,,,,,,,,,,,,,,,,,,,,,
3,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,2,Rva,Rhacochilus vacca,Pile perch,28,0,,,7,9,6,6,,,,,,,,,,,,,,,,,,,,,,
4,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,2,Sme,Sebastes melanops,Black rockfish,40,0,,,5,23,12,,,,,,,,,,,,,,,,,,,,,,,
5,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,2,Opi,Oxylebius pictus,Painted greenling,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
6,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,2,Sfl,Sebastes flavidus,Yellowtail rockfish,40,0,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,
7,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Mfra,Mesocentrotus franciscanus,Red sea urchin,173,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Pmi,Patiria miniata,Bat star,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Rni,Rhinogobiops nicholsii,Blackeye goby,52,0,5,30,15,2,,,,,,,,,,,,,,,,,,,,,,,,
10,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Hka,Haliotis kamtschatkana,Pinto abalone,16,0,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,
11,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Ami,Acmaea mitra,Whitecap limpet,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Oko,Orthasterias koehleri,Rainbow star,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Das,Diodora aspera,Rough keyhole limpet,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Dim,Dermasterias imbricata,Leather star,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Ahu,Acanthodoris hudsoni,Hudson's horned dorid,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Aca,Apostichopus californicus,California sea cucumber,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Hpu,Henricia pumila,Dwarf mottled henricia,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Etr,Evasterias troschelii,Mottled starfish,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Cfo,Ceratostoma foliatum,Leafy hornmouth,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CMA,KDC,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,2,2,Poc,Pisaster ochraceus,Purple sea star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,KDC,CMA,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,1,sfl,Sebastes flavidus,Black rockfish,19,0,,,1,15,3,,,,,,,,,,,,,,,,,,,,,,,
22,KDC,CMA,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,1,opi,Oxylebius pictus,Painted greenling,6,0,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,
23,KDC,CMA,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,1,rni,Rhinogobiops nicholsii,Blackeye goby,27,0,,2,4,11,10,,,,,,,,,,,,,,,,,,,,,,,
24,KDC,CMA,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,7/4/2022,5,90,10:10,KDC,3.4,1,1,sebastes,Sebastes spp.,,5,0,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
