FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e2e,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,48.85,-125.2,2,1,Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra acutifrons,Scyra acutifrons,0,1,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e2d,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,48.85,-125.2,2,2,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Stylasterias forreri,Stylasterias forreri,0,1,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e2c,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,48.85,-125.2,2,1,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias imbricata,Dermasterias imbricata,0,20,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e2b,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,48.85,-125.2,2,1,Mollusca,Gastropoda,,Acmaeidae,Acmaea mitra,Acmaea mitra,0,9,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e2a,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,48.85,-125.2,2,2,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias imbricata,Dermasterias imbricata,0,5,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e29,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,48.85,-125.2,2,2,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus californicus,Apostichopus californicus,0,9,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e28,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,48.85,-125.2,2,1,Mollusca,Gastropoda,,Turbinidae,Pomaulax gibberosus,Pomaulax gibberosus,0,21,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e27,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,48.85,-125.2,2,1,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus danae,Pandalus danae,0,1,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e26,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,48.85,-125.2,2,2,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Hermissenda crassicornis,Hermissenda crassicornis,0,2,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e25,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,48.85,-125.2,2,2,Mollusca,Gastropoda,,Acmaeidae,Acmaea mitra,Acmaea mitra,0,1,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e24,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,48.85,-125.2,2,2,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias koehleri,Orthasterias koehleri,0,8,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e23,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,48.85,-125.2,2,2,Mollusca,Gastropoda,,Turbinidae,Pomaulax gibberosus,Pomaulax gibberosus,0,13,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e22,923400146,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2021-04-27,4.5,RLS,4,10:30:00,48.85,-125.2,2,2,Arthropoda,Malacostraca,Decapoda,,Paguroidea spp.,Decapoda spp.,0,1,,POINT (-125.2 48.85)
ep_m2_inverts_public_data.fid--3819fb10_18a423dbc2d_-e21,923402235,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC2,Kirby,48.85,-125.2,2023-05-09,7,RLS,2,13:30:00,48.85,-125.2,2,1,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus hemphilli,Pagurus hemphilli,0,3,,POINT (-125.2 48.85)
