age,shell_height,body_weight
1,22.03071872,0.346020761
2,43.37085239,0.692041522
3,56.36065189,2.941176471
4,75.61378825,4.152249135
5,89.64708641,7.439446367
6,104.7262282,10.89965398
7,114.5878767,13.14878893
8,121.8407785,16.0899654
9,125.9631844,19.72318339
10,140.5182319,21.4532872
11,131.5969047,20.93425606
12,142.4973619,25.60553633
13,146.1027084,25.08650519
14,149.703365,26.29757785
15,150.1711807,24.22145329
16,150.6389964,25.43252595
17,156.3266503,27.16262976
18,158.8838082,26.98961938
19,160.9168718,26.12456747
20,156.6912885,25.25951557
