SiteName,site_code,Transect,Date,Time_start,Depth_m,RLS_dist,Macro_5m2,Nereo_5m2,Macro,Nereo,Kelp,macro_biomass_trans,nereo_biomass_trans,biomass_trans_mean,height_mean,Area_m2
Ross Islet Slug Island,KCCA1,0,7/4/2022,13:55:00,3,12.5,92,0,18.4,0,18.4,5.431679999999999,NA,5.431679999999999,0.91,741.7770795
Ross Islet Slug Island,KCCA1,5,7/4/2022,13:55:00,3,17.5,40,0,8,0,8,3.6031999999999997,NA,3.6031999999999997,1.812,741.7770795
Ross Islet Slug Island,KCCA1,10,7/4/2022,13:55:00,3,22.5,58,0,11.6,0,11.6,2.09728,NA,2.09728,0.842,741.7770795
Ross Islet Slug Island,KCCA1,15,7/4/2022,13:55:00,3,27.5,72,0,14.4,0,14.4,3.8534400000000004,NA,3.8534400000000004,1.158,741.7770795
Between Scotts and Bradys,KCCA2,0,7/5/2022,11:26:00,2.7,15,26,0,5.2,0,5.2,3.9062400000000004,NA,3.9062400000000004,1.286,583.0947372
Between Scotts and Bradys,KCCA2,5,7/5/2022,11:26:00,2.7,20,19,0,3.8,0,3.8,0.9317599999999999,NA,0.9317599999999999,0.9480000000000001,583.0947372
Between Scotts and Bradys,KCCA2,10,7/5/2022,11:26:00,2.7,25,23,0,4.6,0,4.6,1.2235999999999998,NA,1.2235999999999998,1.336,583.0947372
Between Scotts and Bradys,KCCA2,15,7/5/2022,11:26:00,2.7,30,22,0,4.4,0,4.4,1.23728,NA,1.23728,1.698,583.0947372
Dodger Channel 1,KCCA3,0,7/6/2022,12:11:00,3,12.5,12,0,2.4,0,2.4,0.5327999999999999,NA,0.5327999999999999,0.9,1492.884566
Dodger Channel 1,KCCA3,5,7/6/2022,12:11:00,3,17.5,14,0,2.8,0,2.8,0.94864,NA,0.94864,1.72,1492.884566
Dodger Channel 1,KCCA3,10,7/6/2022,12:11:00,3,22.5,18,0,3.6,0,3.6,0.5184,NA,0.5184,0.652,1492.884566
Dodger Channel 1,KCCA3,15,7/6/2022,12:11:00,3,27.5,18,0,3.6,0,3.6,3.0456,NA,3.0456,2.64,1492.884566
Flemming 112,KCCA4,0,7/7/2022,12:11:00,3.2,35,12,0,2.4,0,2.4,1.2614400000000001,NA,1.2614400000000001,2.28,613.1488663
Flemming 112,KCCA4,5,7/7/2022,12:11:00,3.2,40,31,0,6.2,0,6.2,3.04792,NA,3.04792,3.368,613.1488663
Flemming 112,KCCA4,10,7/7/2022,12:11:00,3.2,45,8,0,1.6,0,1.6,0.3904,NA,0.3904,1.4749999999999999,613.1488663
Flemming 112,KCCA4,15,7/7/2022,12:11:00,3.2,50,24,0,4.8,0,4.8,2.1427199999999997,NA,2.1427199999999997,2.5,613.1488663
Swiss Boy,KCCA5,0,7/23/2022,12:36:00,4.3,3,0,22,0,4.4,4.4,NA,1.1198475113033723,1.1198475113033723,1.1440000000000001,98.78645361
Swiss Boy,KCCA5,5,7/23/2022,12:36:00,4.3,8,0,23,0,4.6,4.6,NA,2.8463729151058668,2.8463729151058668,1.5,98.78645361
Swiss Boy,KCCA5,10,7/23/2022,12:36:00,4.3,13,0,101,0,20.2,20.2,NA,10.894182878440672,10.894182878440672,4.422,98.78645361
Swiss Boy,KCCA5,15,7/23/2022,12:36:00,4.3,18,0,10,0,2,2,NA,0.5411303018963313,0.5411303018963313,1.262,98.78645361
Less Dangerous Bay,KCCA6,0,7/24/2022,12:30:00,4,2.5,0,0,0,0,0,NA,NA,0,0,NA
Less Dangerous Bay,KCCA6,5,7/24/2022,12:30:00,4,7.5,0,0,0,0,0,NA,NA,0,0,NA
Less Dangerous Bay,KCCA6,10,7/24/2022,12:30:00,4,12.5,0,0,0,0,0,NA,NA,0,0,NA
Less Dangerous Bay,KCCA6,15,7/24/2022,12:30:00,4,17.5,0,0,0,0,0,NA,NA,0,0,NA
Ed King East Inside,KCCA7,0,7/25/2022,12:27:00,3,12.5,33,10,6.6,2,8.6,2.75088,1.031061767573245,3.7819417675732447,2.67475,1817.478364
Ed King East Inside,KCCA7,5,7/25/2022,12:27:00,3,17.5,81,42,16.2,8.4,24.6,8.7399,5.503057134259562,14.242957134259562,1.9977500000000001,1817.478364
Ed King East Inside,KCCA7,10,7/25/2022,12:27:00,3,22.5,21,4,4.2,0.8,5,1.9152,0.2376432221643663,2.1528432221643663,1.939,1817.478364
Ed King East Inside,KCCA7,15,7/25/2022,12:27:00,3,27.5,107,5,21.4,1,22.4,21.6568,0.4765186128563724,22.133318612856375,2.658,1817.478364
Dixon Island Back (Bay),KCCA8,0,7/26/2022,10:45:00,3.5,30,7,0,1.4,0,1.4,1.7343199999999999,NA,1.7343199999999999,1.884,580.7259398
Dixon Island Back (Bay),KCCA8,5,7/26/2022,10:45:00,3.5,35,6,0,1.2,0,1.2,0.65232,NA,0.65232,1.058,580.7259398
Dixon Island Back (Bay),KCCA8,10,7/26/2022,10:45:00,3.5,40,9,0,1.8,0,1.8,1.2069,NA,1.2069,1.1325,580.7259398
Dixon Island Back (Bay),KCCA8,15,7/26/2022,10:45:00,3.5,45,2,0,0.4,0,0.4,0.2344,NA,0.2344,0.66,580.7259398
Wizard Islet South,KCCA9,0,7/27/2022,13:23:00,3,30,29,0,5.8,0,5.8,1.19944,NA,1.19944,1.0344,3580.420772
Wizard Islet South,KCCA9,5,7/27/2022,13:23:00,3,35,118,0,23.6,0,23.6,6.47584,NA,6.47584,1.074,3580.420772
Wizard Islet South,KCCA9,10,7/27/2022,13:23:00,3,40,40,0,8,0,8,2.5088000000000004,NA,2.5088000000000004,0.91,3580.420772
Wizard Islet South,KCCA9,15,7/27/2022,13:23:00,3,45,103,0,20.6,0,20.6,7.852720000000001,NA,7.852720000000001,1.442,3580.420772
Dodger Channel 2,KCCA10,0,7/28/2022,11:45:00,5,35,4,0,0.8,0,0.8,0.3408,NA,0.3408,2.415,2816.753219
