SiteName,Depth_datum_m,HeightM,HeightSD,BiomassM,BiomassSD,DensityM,DensitySD,MacroM,MacroSD,NereoM,NereoSD,Composition,Area_m2
Between Scotts and Bradys,1.42,1.317,0.306944077,1.82472,1.394815887,4.5,0.577350269,4.5,0.577350269,0,0,Macro,583.0947372
Bordelais Island,1.61,4.3115,1.591371212,1.885589776,1.476914044,1.7,1,0,0,1.7,1,Nereo,1837.342447
Cable Beach (Blow Hole),0.87,2.066,0.076402443,2.439627499,1.189223352,2.85,1.024695077,0,0,2.85,1.024695077,Nereo,411.7314613
Danvers Danger Rock,1.21,1.1575,0.517613434,0.90358,0.845142358,3,2.019900988,3,2.019900988,0,0,Macro,85.1392366
Dixon Island Back (Bay),1.18,1.183625,0.510915416,0.956985,0.653619934,1.2,0.588784058,1.2,0.588784058,0,0,Macro,580.7259398
Dodger Channel 1,1.69,1.478,0.89910474,1.26136,1.206108814,3.1,0.6,3.1,0.6,0,0,Macro,1492.884566
Dodger Channel 2,2.7,3.178625,0.632063733,2.88256,1.712817704,5.95,3.872552991,5.95,3.872552991,0,0,Macro,2816.753219
Ed King East Inside,0.24,2.332305556,0.393408879,9.341959461,7.498172607,15.15,9.794386147,12.1,8.08207894,3.05,3.605088996,Mixed,1817.478364
Flemming 112,2.11,2.40575,0.778228062,1.71062,1.14306973,3.75,2.125245084,3.75,2.125245084,0,0,Macro,613.1488663
Flemming 114,3.85,2.676,2.19157721,0.694267,0.810340575,1.9,1.311487705,1.9,1.311487705,0,0,Macro,390.8039057
Nanat Bay,3.5,2.9995,2.656880564,0.81248,1.189476525,1.15,1.644181661,1.15,1.644181661,0,0,Macro,3156.892888
North Helby Rock,2.41,1.8195,0.356910353,3.14586,2.933558823,6,3.433171517,6,3.433171517,0,0,Macro,890.7275502
Ross Islet 2,0.19,1.561,0.303703803,3.68882,2.17908759,12.05,7.219187397,12.05,7.219187397,0,0,Macro,926.3335232
Ross Islet Slug Island,1.81,1.1805,0.442361466,3.7464,1.365250802,13.1,4.398484588,13.1,4.398484588,0,0,Macro,741.7770795
Second Beach,2.19,4.07,0.868628037,7.007207212,2.961198433,5.85,1.738773514,0,0,5.85,1.738773514,Nereo,840.9770157
Second Beach South,4.93,5.491125,0.601369877,16.02313757,9.768622647,11.35,6.095626848,0,0,11.35,6.095626848,Nereo,13462.72317
Swiss Boy,2,2.082,1.567010742,3.850387738,4.79688523,7.8,8.350648677,0,0,7.8,8.350648677,Nereo,98.78645361
Taylor Rock,1.43,2.29925,0.221710585,8.520317681,4.556077463,14.8,7.021870596,13.15,7.363649458,1.65,0.37859389,Mixed,1692.986931
Turf Island 2,0.33,1.173,0.528914612,3.90908,3.895364288,14.3,8.416650165,14.3,8.416650165,0,0,Macro,972.4824151
Tzartus 116,2.23,2.499375,0.699830143,1.95586,1.086658533,6.65,3.450120771,6.65,3.450120771,0,0,Macro,1457.559884
Wizard Islet South,0.1,1.1151,0.228860452,4.5092,3.162431043,14.5,8.906177631,14.5,8.906177631,0,0,Macro,3580.420772
