SiteName,HeightM,HeightSD,BiomassM,BiomassSD,DensityM,DensitySD,MacroM,MacroSD,NereoM,NereoSD,Composition,Area_m2
Between Scotts and Bradys,1.317,0.306944077,0.364944,0.278963177,4.5,0.577350269,4.5,0.577350269,0,0,Macro,583.0947372
Bordelais Island,4.3115,1.591371212,0.377117955,0.295382809,1.7,1,0,0,1.7,1,Nereo,1837.342447
Cable Beach (Blow Hole),2.066,0.076402443,0.4879255,0.23784467,2.85,1.024695077,0,0,2.85,1.024695077,Nereo,411.7314613
Danvers Danger Rock,1.1575,0.517613434,0.180716,0.169028472,3,2.019900988,3,2.019900988,0,0,Macro,85.1392366
Dixon Island Back (Bay),1.183625,0.510915416,0.191397,0.130723987,1.2,0.588784058,1.2,0.588784058,0,0,Macro,580.7259398
Dodger Channel 1,1.478,0.89910474,0.252272,0.241221763,3.1,0.6,3.1,0.6,0,0,Macro,1492.884566
Dodger Channel 2,3.178625,0.632063733,0.576512,0.342563541,5.95,3.872552991,5.95,3.872552991,0,0,Macro,2816.753219
Ed King East Inside,2.332305556,0.393408879,1.868391892,1.499634521,15.15,9.794386147,12.1,8.08207894,3.05,3.605088996,Mixed,1817.478364
Flemming 112,2.40575,0.778228062,0.342124,0.228613946,3.75,2.125245084,3.75,2.125245084,0,0,Macro,613.1488663
Flemming 114,3.568,1.559016357,0.185137867,0.162928204,1.9,1.311487705,1.9,1.311487705,0,0,Macro,390.8039058
Less Dangerous Bay,NA,NA,NA,NA,0,0,0,0,0,0,None,NA
Nanat Bay,2.9995,2.656880564,0.162496,0.237895305,1.15,1.644181661,1.15,1.644181661,0,0,Macro,3156.892888
North Helby Rock,1.8195,0.356910353,0.629172,0.586711765,6,3.433171517,6,3.433171517,0,0,Macro,890.7275502
Ross Islet 2,1.561,0.303703803,0.737764,0.435817518,12.05,7.219187397,12.05,7.219187397,0,0,Macro,926.3335232
Ross Islet Slug Island,1.1805,0.442361466,0.74928,0.27305016,13.1,4.398484588,13.1,4.398484588,0,0,Macro,741.7770795
Second Beach,4.07,0.868628037,1.401441442,0.592239687,5.85,1.738773514,0,0,5.85,1.738773514,Nereo,840.9770157
Second Beach South,5.491125,0.601369877,3.204627514,1.953724529,11.35,6.095626848,0,0,11.35,6.095626848,Nereo,13462.72317
Swiss Boy,2.082,1.567010742,0.770077548,0.959377046,7.8,8.350648677,0,0,7.8,8.350648677,Nereo,98.78645361
Taylor Rock,2.29925,0.221710585,1.704063536,0.911215493,14.8,7.021870596,13.15,7.363649458,1.65,0.37859389,Mixed,1692.986931
Turf Island 2,1.173,0.528914612,0.781816,0.779072858,14.3,8.416650165,14.3,8.416650165,0,0,Macro,972.4824151
Tzartus 116,2.499375,0.699830143,0.391172,0.217331707,6.65,3.450120771,6.65,3.450120771,0,0,Macro,1457.559884
Wizard Islet North,2.28,NA,0.04951188,NA,0.1,0.2,0,0,0.1,0.2,Nereo,NA
Wizard Islet South,1.1151,0.228860452,0.90184,0.632486209,14.5,8.906177631,14.5,8.906177631,0,0,Macro,3580.420772
