site_code,SiteName
KCCA1,Ross Islet Slug Island
KCCA2,Between Scotts and Bradys
KCCA3,Dodger Channel 1
KCCA4,Flemming 112
KCCA5,Swiss Boy
KCCA6,Less Dangerous Bay
KCCA7,Ed King East Inside
KCCA8,Dixon Island Back (Bay)
KCCA9,Wizard Islet South
KCCA10,Dodger Channel 2
KCCA11,Ross Islet 2
KCCA12,North Helby Rock
KCCA13,Second Beach South
KCCA14,Danvers Danger Rock
KCCA15,Cable Beach (Blow Hole)
KCCA16,Tzartus 116
KCCA17,Turf Island 2
KCCA18,Second Beach
KCCA19,Wizard Islet North
KCCA20,Nanat Bay
KCCA21,Bordelais Island
KCCA22,Taylor Rock
KCCA23,Flemming 114
KCCA24,Sand Town
