SiteName,Transect,HeightT,BiomassTind,Surveyor,Date,Time_start,Depth_m,Depth_datum_m,RLS_dist,Macro_5m2,Nereo_5m2,Macro,Nereo,Kelp,BiomassTkg,Biomassm2kg
Between Scotts and Bradys,0,1.286,751.2,BM,7/5/2022,11:26,2.7,1.42,15,26,0,5.2,0,5.2,3.90624,0.781248
Between Scotts and Bradys,10,1.336,266,BM,7/5/2022,11:26,2.7,1.42,25,23,0,4.6,0,4.6,1.2236,0.24472
Between Scotts and Bradys,15,1.698,281.2,AB,7/5/2022,11:26,2.7,1.42,30,22,0,4.4,0,4.4,1.23728,0.247456
Between Scotts and Bradys,5,0.948,245.2,AB,7/5/2022,11:26,2.7,1.42,20,19,0,3.8,0,3.8,0.93176,0.186352
Bordelais Island,0,3.546,616.5426678,BM,9/1/2022,12:34,3.5,1.61,5,0,9,0,1.8,1.8,1.109776802,0.22195536
Bordelais Island,10,2.53,1165.590603,BM,9/1/2022,12:34,3.5,1.61,15,0,3,0,0.6,0.6,0.699354362,0.139870872
Bordelais Island,15,5.04,1336.324319,KDC,9/1/2022,12:34,3.5,1.61,20,0,15,0,3,3,4.008972958,0.801794592
Bordelais Island,5,6.13,1231.610702,KDC,9/1/2022,12:34,3.5,1.61,10,0,7,0,1.4,1.4,1.724254983,0.344850997
Cable Beach (Blow Hole),0,1.99,652.5628559,KDC,8/7/2022,12:27,3,0.87,5,0,11,0,2.2,2.2,1.435638283,0.287127657
Cable Beach (Blow Hole),10,2.172,792.9733535,KDC,8/7/2022,12:27,3,0.87,15,0,9,0,1.8,1.8,1.427352036,0.285470407
Cable Beach (Blow Hole),15,2.046,936.3961037,CMA,8/7/2022,12:27,3,0.87,20,0,20,0,4,4,3.745584415,0.749116883
Cable Beach (Blow Hole),5,2.056,926.4515475,CMA,8/7/2022,12:27,3,0.87,10,0,17,0,3.4,3.4,3.149935261,0.629987052
Danvers Danger Rock,0,0.708,125.6,AB,8/6/2022,12:32,3,1.21,5,7,0,1.4,0,1.4,0.17584,0.035168
Danvers Danger Rock,10,0.866,125.2,AB,8/6/2022,12:32,3,1.21,15,7,0,1.4,0,1.4,0.17528,0.035056
Danvers Danger Rock,15,1.876,423.6,KDC,8/6/2022,12:32,3,1.21,20,18,0,3.6,0,3.6,1.52496,0.304992
Danvers Danger Rock,5,1.18,310.4,KDC,8/6/2022,12:32,3,1.21,10,28,0,5.6,0,5.6,1.73824,0.347648
Dixon Island Back (Bay),0,1.884,1238.8,CMA,7/26/2022,10:45,3.5,1.18,30,7,0,1.4,0,1.4,1.73432,0.346864
Dixon Island Back (Bay),10,1.1325,670.5,CMA,7/26/2022,10:45,3.5,1.18,40,9,0,1.8,0,1.8,1.2069,0.24138
Dixon Island Back (Bay),15,0.66,586,AB,7/26/2022,10:45,3.5,1.18,45,2,0,0.4,0,0.4,0.2344,0.04688
Dixon Island Back (Bay),5,1.058,543.6,AB,7/26/2022,10:45,3.5,1.18,35,6,0,1.2,0,1.2,0.65232,0.130464
Dodger Channel 1,0,0.9,222,BM,7/6/2022,12:11,3,1.69,12.5,12,0,2.4,0,2.4,0.5328,0.10656
Dodger Channel 1,10,0.652,144,BM,7/6/2022,12:11,3,1.69,22.5,18,0,3.6,0,3.6,0.5184,0.10368
Dodger Channel 1,15,2.64,846,AB,7/6/2022,12:11,3,1.69,27.5,18,0,3.6,0,3.6,3.0456,0.60912
Dodger Channel 1,5,1.72,338.8,AB,7/6/2022,12:11,3,1.69,17.5,14,0,2.8,0,2.8,0.94864,0.189728
Dodger Channel 2,0,2.415,426,AB,7/28/2022,11:45,5,2.7,35,4,0,0.8,0,0.8,0.3408,0.06816
Dodger Channel 2,10,3.824,706,AB,7/28/2022,11:45,5,2.7,45,26,0,5.2,0,5.2,3.6712,0.73424
Dodger Channel 2,15,3.5475,432,KDC,7/28/2022,11:45,5,2.7,50,47,0,9.4,0,9.4,4.0608,0.81216
Dodger Channel 2,5,2.928,411.6,KDC,7/28/2022,11:45,5,2.7,40,42,0,8.4,0,8.4,3.45744,0.691488
Ed King East Inside,0,2.683333333,460.6807081,BM,7/25/2022,12:27,3,0.24,12.5,33,10,6.6,2,8.6,3.96185409,0.792370818
Ed King East Inside,10,1.939,376.5270981,BM,7/25/2022,12:27,3,0.24,22.5,21,4,4.2,0.8,5,1.882635491,0.376527098
Ed King East Inside,15,2.658,744.259594,AB,7/25/2022,12:27,3,0.24,27.5,107,5,21.4,1,22.4,16.67141491,3.334282981
Ed King East Inside,5,2.048888889,603.7371283,AB,7/25/2022,12:27,3,0.24,17.5,81,42,16.2,8.4,24.6,14.85193336,2.970386671
Flemming 112,0,2.28,525.6,AB,7/7/2022,12:11,3.2,2.11,35,12,0,2.4,0,2.4,1.26144,0.252288
Flemming 112,10,1.475,244,AB,7/7/2022,12:11,3.2,2.11,45,8,0,1.6,0,1.6,0.3904,0.07808
Flemming 112,15,2.5,446.4,BM,7/7/2022,12:11,3.2,2.11,50,24,0,4.8,0,4.8,2.14272,0.428544
Flemming 112,5,3.368,491.6,BM,7/7/2022,12:11,3.2,2.11,40,31,0,6.2,0,6.2,3.04792,0.609584
Flemming 114,0,3.194,3.7,KDC,9/8/2022,11:45,7,3.85,10,12,0,2.4,0,2.4,0.00888,0.001776
Flemming 114,10,NA,NA,KDC,9/8/2022,11:45,7,3.85,20,0,0,0,0,0,NA,NA
Flemming 114,15,2.23,400.596,BM,9/8/2022,11:45,7,3.85,25,15,0,3,0,3,1.201788,0.2403576
Flemming 114,5,5.28,712,BM,9/8/2022,11:45,7,3.85,15,11,0,2.2,0,2.2,1.5664,0.31328
Less Dangerous Bay,0,NA,NA,AB,7/24/2022,12:30,4,1.41,2.5,0,0,0,0,0,NA,NA
Less Dangerous Bay,10,NA,NA,AB,7/24/2022,12:30,4,1.41,12.5,0,0,0,0,0,NA,NA
Less Dangerous Bay,15,NA,NA,BM,7/24/2022,12:30,4,1.41,17.5,0,0,0,0,0,NA,NA
Less Dangerous Bay,5,NA,NA,BM,7/24/2022,12:30,4,1.41,7.5,0,0,0,0,0,NA,NA
Nanat Bay,0,3.288,719.2,BM,8/31/2022,12:27,5.5,3.5,5,18,0,3.6,0,3.6,2.58912,0.517824
Nanat Bay,10,1.1,446,BM,8/31/2022,12:27,5.5,3.5,15,1,0,0.2,0,0.2,0.0892,0.01784
