date,time,time_zone,tide_m
2022-07-04,0:01,PDT,2.016939
2022-07-04,0:02,PDT,2.021528
2022-07-04,0:03,PDT,2.026153
2022-07-04,0:04,PDT,2.030813
2022-07-04,0:05,PDT,2.035507
2022-07-04,0:06,PDT,2.040236
2022-07-04,0:07,PDT,2.044999
2022-07-04,0:08,PDT,2.049796
2022-07-04,0:09,PDT,2.054627
2022-07-04,0:10,PDT,2.059491
2022-07-04,0:11,PDT,2.064389
2022-07-04,0:12,PDT,2.069319
2022-07-04,0:13,PDT,2.074281
2022-07-04,0:14,PDT,2.079275
2022-07-04,0:15,PDT,2.084301
2022-07-04,0:16,PDT,2.089359
2022-07-04,0:17,PDT,2.094447
2022-07-04,0:18,PDT,2.099566
2022-07-04,0:19,PDT,2.104716
2022-07-04,0:20,PDT,2.109895
2022-07-04,0:21,PDT,2.115104
2022-07-04,0:22,PDT,2.120343
2022-07-04,0:23,PDT,2.12561
2022-07-04,0:24,PDT,2.130905
2022-07-04,0:25,PDT,2.136229
2022-07-04,0:26,PDT,2.141581
2022-07-04,0:27,PDT,2.14696
2022-07-04,0:28,PDT,2.152365
2022-07-04,0:29,PDT,2.157797
2022-07-04,0:30,PDT,2.163256
2022-07-04,0:31,PDT,2.16874
2022-07-04,0:32,PDT,2.174249
2022-07-04,0:33,PDT,2.179783
2022-07-04,0:34,PDT,2.185342
2022-07-04,0:35,PDT,2.190924
2022-07-04,0:36,PDT,2.19653
2022-07-04,0:37,PDT,2.202159
2022-07-04,0:38,PDT,2.207811
2022-07-04,0:39,PDT,2.213484
2022-07-04,0:40,PDT,2.21918
2022-07-04,0:41,PDT,2.224897
2022-07-04,0:42,PDT,2.230634
2022-07-04,0:43,PDT,2.236392
2022-07-04,0:44,PDT,2.242169
2022-07-04,0:45,PDT,2.247966
2022-07-04,0:46,PDT,2.253781
2022-07-04,0:47,PDT,2.259615
2022-07-04,0:48,PDT,2.265467
2022-07-04,0:49,PDT,2.271336
2022-07-04,0:50,PDT,2.277221
2022-07-04,0:51,PDT,2.283123
