site_code,latitude,longitude
KCCA1,48.87039,-125.1599
KCCA2,48.83287,-125.1493
KCCA3,48.83072,-125.19439
KCCA4,48.87868,-125.1434
KCCA5,48.916283,-125.131133
KCCA6,48.87535,-125.0915
KCCA7,48.83608,-125.2131
KCCA8,48.85395,-125.1161
KCCA9,48.85728,-125.1595
KCCA10,48.83941,-125.20042
KCCA11,48.87229,-125.1627
KCCA12,48.85831,-125.1649
KCCA13,48.81508,-125.17585
KCCA14,48.877,-125.0923
KCCA15,48.82484,-125.16067
KCCA16,48.90084,-125.0811
KCCA17,48.884864,-125.146937
KCCA18,48.815969,-125.174
KCCA19,48.85916,-125.15908
KCCA20,48.880543,-125.076486
KCCA21,48.81822,-125.2294516
KCCA22,48.82721,-125.19717
KCCA23,48.8915,-125.1149
KCCA24,48.83435,-125.193543
