species_name,seen_this_year,seen_before
Armina californica,yes,no
Aulorhynchus flavidus,yes,no
Berthella chacei,yes,no
Cadlina sylviaearleae,yes,no
Calliostoma ligatum,yes,no
Chirolophis nugator,yes,no
Chorilia longipes,yes,no
Citharichthys stigmaeus,yes,no
Cymatogaster aggregata,yes,no
Embiotocidae spp.,yes,no
Enteroctopus dofleini,yes,no
Eurylepta leoparda,yes,no
Hapalogaster mertensii,yes,no
Hexagrammos spp.,yes,no
Megathura crenulata,yes,no
Myoxocephalus aenaeus,yes,no
Opalia wroblewskyi,yes,no
Pachycheles pubescens,yes,no
Pagurus beringanus,yes,no
Pandalus danae,yes,no
Pandalus spp.,yes,no
Pholis clemensi,yes,no
Pisaster brevispinus,yes,no
Pleuronichthys coenosus,yes,no
Pugettia gracilis,yes,no
Scyra spp.,yes,no
Sebastes pinniger,yes,no
Solaster stimpsoni,yes,no
Tegula funebralis,yes,no
Triopha catalinae,yes,no
Unidentified shrimp,yes,no
