phylum,class,order,family,species_name
Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus
Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes caurinus
Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes spp.
Chordata,Actinopterygii,Perciformes,Aulorhynchidae,Aulorhynchus flavidus
Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius frenatus
Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster aggregata
Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus vacca
Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes melanops
Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis infundibulum
Chordata,Actinopterygii,Perciformes,Hexagrammidae,Ophiodon elongatus
Chordata,Actinopterygii,Perciformes,Hexagrammidae,Oxylebius pictus
Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca lateralis
Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Polyorchis penicillatus
Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes flavidus
Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes pinniger
Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes maliger
Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys ocellatus
Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia bachei
Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos stelleri
Chordata,Actinopterygii,Perciformes,Sebastidae,Sebastes nebulosus
Chordata,Actinopterygii,Perciformes,Rhamphocottidae,Rhamphocottus richardsonii
Chordata,Actinopterygii,Blenniiformes,Clinidae,Gibbonsia metzi
Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos spp.
Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotocidae spp.
Chordata,Actinopterygii,Perciformes,Percidae,Percidae spp.
Chordata,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops nicholsii
Chordata,Actinopterygii,Perciformes,Cottidae,Artedius harringtoni
Chordata,Actinopterygii,Perciformes,Cottidae,Jordania zonope
Chordata,Actinopterygii,Perciformes,Cottidae,Cottidae spp.
Chordata,Actinopterygii,Perciformes,Cottidae,Hemilepidotus hemilepidotus
Chordata,Actinopterygii,Perciformes,Stichaeidae,Chirolophis nugator
Chordata,Actinopterygii,Perciformes,Pholidae,Apodichthys flavidus
Chordata,Actinopterygii,Perciformes,Pholidae,Pholis spp.
Chordata,Actinopterygii,Perciformes,Pholidae,Pholis laeta
Chordata,Actinopterygii,Perciformes,Cottidae,Enophrys bison
Chordata,Actinopterygii,Perciformes,Pholidae,Pholis clemensi
Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys stigmaeus
Chordata,Actinopterygii,Perciformes,Liparidae,Liparis florae
Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys coenosus
Chordata,Actinopterygii,Perciformes,Cottidae,Asemichthys taylori
Chordata,Actinopterygii,Perciformes,Cottidae,Oligocottus maculosus
Chordata,Actinopterygii,Perciformes,Cottidae,Scorpaenichthys marmoratus
Chordata,Actinopterygii,Perciformes,Pholidae,Pholis ornata
Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra acutifrons
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Stylasterias forreri
Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias imbricata
Mollusca,Gastropoda,Patellogastropoda,Acmaeidae,Acmaea mitra
Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus californicus
Mollusca,Gastropoda,Trochida,Turbinidae,Pomaulax gibberosus
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus danae
