phylum,class,order,family,species_name,weight_per_indiv_g,n
Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer productus,200,62
Arthropoda,Malacostraca,Decapoda,Cancridae,Glebocarcinus oregonensis,3,23
Arthropoda,Malacostraca,Decapoda,Cancridae,Romaleon antennarium,3,4
Arthropoda,Malacostraca,Decapoda,Epialtidae,Chorilia longipes,1.235,2
Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia foliata,1.235,2
Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia gracilis,1.235,4
Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia producta,46,42
Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia richii,1.235,6
Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra acutifrons,2,81
Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra spp.,1.235,2
Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes sitchensis,65,3
Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes typicus,65,1
Arthropoda,Malacostraca,Decapoda,Lithodidae,Hapalogaster mertensii,65,1
Arthropoda,Malacostraca,Decapoda,Lithodidae,Lopholithodes mandtii,65,5
Arthropoda,Malacostraca,Decapoda,Lithodidae,Phyllolithodes papillosus,65,2
Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia gracilis,3,27
Arthropoda,Malacostraca,Decapoda,Paguridae,Paguroidea spp.,0.43,112
Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus beringanus,0.43,6
Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus hemphilli,0.43,28
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus danae,0.11,11
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus gurneyi,0.11,1
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus spp.,0.11,1
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandulus spp.,0.11,1
Arthropoda,Malacostraca,Decapoda,Panopeidae,Lophopanopeus bellus,3,13
Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pachycheles pubescens,0.5,1
Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes eriomerus,0.5,1
Arthropoda,Malacostraca,Decapoda,Thoridae,Heptacarpus stylus,0.11,6
Arthropoda,Malacostraca,Decapoda,NA,Brachyura spp.,0.5,1
Arthropoda,Malacostraca,Decapoda,NA,Unidentified shrimp,0.5,1
Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Polyorchis penicillatus,0.01,4
Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocoma cellularia,0.01,2
Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia bachei,0.01,1
Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis infundibulum,0.01,13
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias troschelii,66.5,108
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias hexactis,5.5,3
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias spp.,5.5,1
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias koehleri,5.5,187
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster brevispinus,5.5,3
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster ochraceus,128,114
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia helianthoides,5.5,99
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Stylasterias forreri,63,46
Echinodermata,Asteroidea,Spinulosida,Asterinidae,Patiria miniata,26.97,180
Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia pumila,10,29
Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia spp.,10,128
Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias imbricata,26.97,197
Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster aequalis,5.5,15
Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster dawsoni,0.5,1
Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster stimpsoni,0.5,1
Echinodermata,Asteroidea,Velatida,Pterasteridae,Pteraster tesselatus,5.5,8
Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus franciscanus,163.41,189
Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus droebachiensis,50,37
Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus purpuratus,85.23,78
Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus californicus,319.31,188
Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys hastata,2.5,7
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,0,5
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,0.3446399101276281,17
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,1.811998403030148,59
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,4.784033841171617,95
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,9.526865914536453,96
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,16.255237759539014,75
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,25.152808556138925,57
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,50.08899235329314,24
Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma gigantea,85.46446303985046,4
